step,timestamp,current_mark_ml,pred_adaboost,pred_GBR,pred_lr,pred_svr,pred_heuristic,current_mark_nn,pred_lstm,pred_optm,action_adaboost,action_GBR,action_lr,action_svr,action_heuristic,action_lstm,action_optm,portfolio_value_adaboost,portfolio_value_GBR,portfolio_value_lr,portfolio_value_svr,portfolio_value_heuristic,portfolio_value_lstm,portfolio_value_optm,investment_adaboost,investment_GBR,investment_lr,investment_svr,investment_heuristic,investment_lstm,investment_optm
4,2025-04-08 05:29:29.841017,58969.4,58966.13756625453,58967.84660357582,58970.64470380805,58971.83681849132,58969.4,58969.4,58975.516,58970.21,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,15000.025267505935,0.0,20999.918773484733,0.0,0.0,0.0,0.0,15000.0,0.0,21000.0,0.0
5,2025-04-08 05:29:30.126911,58969.45,58966.13756625453,58967.84660357582,58970.5717398856,58971.78679778789,58969.49999999999,58969.45,58975.47,58970.137,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,16000.037985988118,0.0,21999.936579260924,0.0,0.0,0.0,0.0,16000.0,0.0,22000.0,0.0
6,2025-04-08 05:29:30.411440,58969.45,58966.13756625453,58967.84660357582,58970.5717398856,58971.78679778789,58969.45,58969.45,58975.47,58970.137,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,17000.037985988118,0.0,22999.936579260924,0.0,0.0,0.0,0.0,17000.0,0.0,23000.0,0.0
7,2025-04-08 05:29:30.696909,58969.47,58966.13756625453,58967.84660357582,58970.5717398856,58971.78679778789,58969.490000000005,58969.47,58975.47,58970.137,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,18000.043751698326,0.0,23999.944379888733,0.0,0.0,0.0,0.0,18000.0,0.0,24000.0,0.0
8,2025-04-08 05:29:30.981931,58969.47,58966.13756625453,58967.84660357582,58970.5717398856,58971.78679778789,58969.47,58969.47,58975.47,58970.137,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,19000.043751698322,0.0,24999.944379888733,0.0,0.0,0.0,0.0,19000.0,0.0,25000.0,0.0
9,2025-04-08 05:29:31.273917,58969.47,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58969.47,58969.47,58975.18,58969.82,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,20000.043751698322,0.0,25999.94437988873,0.0,0.0,0.0,0.0,20000.0,0.0,26000.0,0.0
10,2025-04-08 05:29:31.558965,58969.09,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58968.70999999999,58969.09,58975.18,58969.82,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,20999.91487116699,0.0,26999.776835922938,0.0,0.0,0.0,0.0,21000.0,0.0,27000.0,0.0
11,2025-04-08 05:29:31.847871,58969.09,58966.13756625453,58967.84660357582,58970.13428974949,58971.385195678944,58969.09,58969.09,58975.027,58969.645,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,21999.91487116699,0.0,27999.776835922938,0.0,0.0,0.0,0.0,22000.0,0.0,28000.0,0.0
12,2025-04-08 05:29:32.134930,58969.09,58966.13756625453,58967.84660357582,58970.13428974949,58971.385195678944,58969.09,58969.09,58975.027,58969.645,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,22999.91487116699,0.0,28999.776835922938,0.0,0.0,0.0,0.0,23000.0,0.0,29000.0,0.0
13,2025-04-08 05:29:32.421921,58969.15,58966.13756625453,58967.84660357582,58970.390341251805,58971.58617012259,58969.21000000001,58969.15,58975.24,58969.914,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,23999.938273171203,0.0,29999.80634267996,0.0,0.0,0.0,0.0,24000.0,0.0,30000.0,0.0
14,2025-04-08 05:29:32.706442,58969.15,58966.13756625453,58967.84660357582,58970.390341251805,58971.58617012259,58969.15,58969.15,58975.24,58969.914,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,24999.9382731712,0.0,30999.806342679964,0.0,0.0,0.0,0.0,25000.0,0.0,31000.0,0.0
